country,ssp_range,year_range,p0.05,p0.50,p0.95
Brunei Darussalam,SSP2-4.5,2040-2059,81.22,81.59,82.15
Brunei Darussalam,SSP2-4.5,2080-2099,81.68,82.49,83.80
Bhutan,SSP2-4.5,1986-2005,53.53,53.95,54.41
Bhutan,SSP2-4.5,2020-2039,55.05,55.42,55.94
Bhutan,SSP2-4.5,2040-2059,55.91,56.36,57.00
Bhutan,SSP2-4.5,2080-2099,56.75,57.67,58.75
Botswana,SSP2-4.5,1986-2005,69.89,70.37,70.62
Botswana,SSP2-4.5,2020-2039,71.55,72.03,72.76
Botswana,SSP2-4.5,2040-2059,72.23,73.19,74.26
Botswana,SSP2-4.5,2080-2099,73.41,74.58,76.44
Central African Republic,SSP2-4.5,1986-2005,78.82,78.96,79.25
Central African Republic,SSP2-4.5,2020-2039,79.48,80.17,80.67
Central African Republic,SSP2-4.5,2040-2059,80.00,80.94,82.04
Central African Republic,SSP2-4.5,2080-2099,80.98,82.16,83.29
Canada,SSP2-4.5,1986-2005,36.75,37.11,37.86
Canada,SSP2-4.5,2020-2039,39.12,39.90,40.87
Canada,SSP2-4.5,2040-2059,40.14,41.45,42.59
Canada,SSP2-4.5,2080-2099,41.47,43.31,44.89
Switzerland,SSP2-4.5,1986-2005,44.60,45.38,46.12
Switzerland,SSP2-4.5,2020-2039,47.21,47.71,48.95
Switzerland,SSP2-4.5,2040-2059,47.99,48.55,50.02
Switzerland,SSP2-4.5,2080-2099,48.45,49.80,51.52
Chile,SSP2-4.5,1986-2005,52.63,52.80,53.04
Chile,SSP2-4.5,2020-2039,53.71,54.08,54.39
Chile,SSP2-4.5,2040-2059,54.39,54.79,55.33
Chile,SSP2-4.5,2080-2099,54.99,55.72,56.90
China,SSP2-4.5,1986-2005,56.47,56.86,57.29
China,SSP2-4.5,2020-2039,58.47,58.74,59.50
China,SSP2-4.5,2040-2059,59.37,60.01,60.86
China,SSP2-4.5,2080-2099,60.17,61.43,62.71
Côte d'Ivoire,SSP2-4.5,1986-2005,79.41,79.63,79.99
Côte d'Ivoire,SSP2-4.5,2020-2039,80.51,81.09,81.38
Côte d'Ivoire,SSP2-4.5,2040-2059,81.19,81.87,82.25
Côte d'Ivoire,SSP2-4.5,2080-2099,81.96,83.12,84.05
Cameroon,SSP2-4.5,1986-2005,76.43,76.56,76.78
Cameroon,SSP2-4.5,2020-2039,77.50,77.92,78.24
Cameroon,SSP2-4.5,2040-2059,78.03,78.82,79.35
Cameroon,SSP2-4.5,2080-2099,78.74,80.10,80.80
"Congo, The Democratic Republic of the",SSP2-4.5,1986-2005,74.77,74.98,75.27
"Congo, The Democratic Republic of the",SSP2-4.5,2020-2039,76.08,76.35,76.67
"Congo, The Democratic Republic of the",SSP2-4.5,2040-2059,76.55,77.20,77.70
"Congo, The Democratic Republic of the",SSP2-4.5,2080-2099,77.13,78.39,79.40
Congo,SSP2-4.5,1986-2005,76.87,77.06,77.31
Congo,SSP2-4.5,2020-2039,78.07,78.30,78.72
Congo,SSP2-4.5,2040-2059,78.75,79.15,79.92
Congo,SSP2-4.5,2080-2099,79.36,80.26,81.16
Cook Islands,SSP2-4.5,1986-2005,77.53,77.87,78.01
Cook Islands,SSP2-4.5,2020-2039,78.60,78.85,79.07
Cook Islands,SSP2-4.5,2040-2059,78.97,79.30,79.91
Cook Islands,SSP2-4.5,2080-2099,79.51,80.03,80.88
Colombia,SSP2-4.5,1986-2005,73.35,73.64,73.81
Colombia,SSP2-4.5,2020-2039,74.76,75.09,75.46
Colombia,SSP2-4.5,2040-2059,75.52,75.92,76.64
Colombia,SSP2-4.5,2080-2099,75.91,76.91,78.17
Comoros,SSP2-4.5,1986-2005,77.85,78.03,78.17
Comoros,SSP2-4.5,2020-2039,78.93,79.13,79.45
Comoros,SSP2-4.5,2040-2059,79.38,79.74,80.44
Comoros,SSP2-4.5,2080-2099,79.92,80.64,81.46
Cabo Verde,SSP2-4.5,1986-2005,73.55,73.79,74.11
Cabo Verde,SSP2-4.5,2020-2039,74.81,75.18,75.70
Cabo Verde,SSP2-4.5,2040-2059,75.26,75.74,76.49
Cabo Verde,SSP2-4.5,2080-2099,75.70,76.62,77.69
Costa Rica,SSP2-4.5,1986-2005,73.47,73.73,73.99
Costa Rica,SSP2-4.5,2020-2039,74.73,75.12,75.50
Costa Rica,SSP2-4.5,2040-2059,75.29,75.89,76.63
Costa Rica,SSP2-4.5,2080-2099,75.90,76.80,77.99
Cuba,SSP2-4.5,1986-2005,77.93,78.36,78.48
Cuba,SSP2-4.5,2020-2039,79.43,79.75,80.19
Cuba,SSP2-4.5,2040-2059,79.99,80.41,80.95
Cuba,SSP2-4.5,2080-2099,80.44,81.35,82.43
Curaçao,SSP2-4.5,1986-2005,79.29,79.52,79.68
Curaçao,SSP2-4.5,2020-2039,80.44,80.85,81.34
Curaçao,SSP2-4.5,2040-2059,81.12,81.41,82.07
Curaçao,SSP2-4.5,2080-2099,81.42,82.32,83.29
Cayman Islands,SSP2-4.5,1986-2005,79.32,79.70,79.76
Cayman Islands,SSP2-4.5,2020-2039,80.68,80.94,81.39
Cayman Islands,SSP2-4.5,2040-2059,81.21,81.61,82.21
Cayman Islands,SSP2-4.5,2080-2099,81.66,82.47,83.65
Cyprus,SSP2-4.5,1986-2005,67.27,67.57,68.03
Cyprus,SSP2-4.5,2020-2039,69.18,69.93,70.30
Cyprus,SSP2-4.5,2040-2059,69.66,70.34,71.24
Cyprus,SSP2-4.5,2080-2099,70.16,71.76,72.94
Czechia,SSP2-4.5,1986-2005,45.37,46.35,46.95
Czechia,SSP2-4.5,2020-2039,48.07,48.69,50.48
Czechia,SSP2-4.5,2040-2059,48.84,49.66,51.82
Czechia,SSP2-4.5,2080-2099,49.50,50.75,52.76
Germany,SSP2-4.5,1986-2005,47.42,48.34,48.85
Germany,SSP2-4.5,2020-2039,49.72,50.37,51.98
Germany,SSP2-4.5,2040-2059,50.58,51.30,53.36
Germany,SSP2-4.5,2080-2099,50.94,52.55,54.32
Djibouti,SSP2-4.5,1986-2005,82.15,82.59,82.85
Djibouti,SSP2-4.5,2020-2039,83.72,84.22,84.93
Djibouti,SSP2-4.5,2040-2059,83.86,84.99,85.95
Djibouti,SSP2-4.5,2080-2099,85.33,86.19,87.68
Dominica,SSP2-4.5,1986-2005,77.85,78.26,78.43
Dominica,SSP2-4.5,2020-2039,79.18,79.59,79.97
Dominica,SSP2-4.5,2040-2059,79.66,80.04,80.54
Dominica,SSP2-4.5,2080-2099,80.16,80.92,82.07
Denmark,SSP2-4.5,1986-2005,45.85,46.94,47.78
Denmark,SSP2-4.5,2020-2039,47.95,48.82,50.34
Denmark,SSP2-4.5,2040-2059,48.54,49.89,52.00
Denmark,SSP2-4.5,2080-2099,49.06,50.81,52.78
Dominican Republic,SSP2-4.5,1986-2005,76.41,76.85,77.10
Dominican Republic,SSP2-4.5,2020-2039,78.02,78.25,78.76
Dominican Republic,SSP2-4.5,2040-2059,78.51,79.02,79.74
Dominican Republic,SSP2-4.5,2080-2099,78.99,80.04,81.57
Algeria,SSP2-4.5,1986-2005,64.57,65.18,65.55
Algeria,SSP2-4.5,2020-2039,66.87,67.50,68.40
Algeria,SSP2-4.5,2040-2059,67.69,68.52,69.70
Algeria,SSP2-4.5,2080-2099,68.38,69.88,71.63
Ecuador,SSP2-4.5,1986-2005,65.13,65.45,65.57
Ecuador,SSP2-4.5,2020-2039,66.41,66.85,67.26
Ecuador,SSP2-4.5,2040-2059,67.15,67.64,68.35
Ecuador,SSP2-4.5,2080-2099,67.51,68.74,69.83
Egypt,SSP2-4.5,1986-2005,71.76,72.14,72.46
Egypt,SSP2-4.5,2020-2039,73.95,74.55,75.08
Egypt,SSP2-4.5,2040-2059,74.51,75.16,76.08
Egypt,SSP2-4.5,2080-2099,75.21,76.71,78.14
Eritrea,SSP2-4.5,1986-2005,78.71,78.96,79.11
Eritrea,SSP2-4.5,2020-2039,79.75,80.67,81.29
