name,ssp_range,year_range,p0.05,p0.50,p0.95
Congo,SSP2-4.5,2020-2039,75.87,76.18,76.50
Congo,SSP2-4.5,2040-2059,76.61,77.06,77.77
Congo,SSP2-4.5,2080-2099,77.30,78.27,79.12
Cook Islands,SSP2-4.5,1986-2005,76.10,76.50,76.73
Cook Islands,SSP2-4.5,2020-2039,77.07,77.41,77.79
Cook Islands,SSP2-4.5,2040-2059,77.48,77.90,78.35
Cook Islands,SSP2-4.5,2080-2099,77.84,78.52,79.40
Colombia,SSP2-4.5,1986-2005,72.86,73.18,73.30
Colombia,SSP2-4.5,2020-2039,74.42,74.61,75.05
Colombia,SSP2-4.5,2040-2059,75.00,75.44,76.25
Colombia,SSP2-4.5,2080-2099,75.49,76.44,77.87
Comoros,SSP2-4.5,1986-2005,75.41,75.52,75.79
Comoros,SSP2-4.5,2020-2039,76.45,76.63,77.09
Comoros,SSP2-4.5,2040-2059,76.93,77.31,78.00
Comoros,SSP2-4.5,2080-2099,77.42,78.20,78.91
Cabo Verde,SSP2-4.5,1986-2005,74.99,75.36,75.80
Cabo Verde,SSP2-4.5,2020-2039,76.37,76.67,77.40
Cabo Verde,SSP2-4.5,2040-2059,76.71,77.26,78.11
Cabo Verde,SSP2-4.5,2080-2099,77.25,78.11,79.28
Costa Rica,SSP2-4.5,1986-2005,73.98,74.33,74.61
Costa Rica,SSP2-4.5,2020-2039,75.04,75.76,76.13
Costa Rica,SSP2-4.5,2040-2059,75.59,76.54,77.29
Costa Rica,SSP2-4.5,2080-2099,76.28,77.41,78.68
Cuba,SSP2-4.5,1986-2005,81.76,82.20,82.32
Cuba,SSP2-4.5,2020-2039,83.33,83.80,84.31
Cuba,SSP2-4.5,2040-2059,83.94,84.49,85.19
Cuba,SSP2-4.5,2080-2099,84.48,85.65,87.22
Curaçao,SSP2-4.5,1986-2005,80.12,80.43,80.51
Curaçao,SSP2-4.5,2020-2039,81.24,81.71,82.15
Curaçao,SSP2-4.5,2040-2059,82.03,82.26,82.95
Curaçao,SSP2-4.5,2080-2099,82.34,83.14,84.24
Cayman Islands,SSP2-4.5,1986-2005,81.57,81.96,82.10
Cayman Islands,SSP2-4.5,2020-2039,82.97,83.33,83.72
Cayman Islands,SSP2-4.5,2040-2059,83.54,84.05,84.63
Cayman Islands,SSP2-4.5,2080-2099,84.07,85.06,86.14
