name,ssp_range,year_range,p0.05,p0.50,p0.95
Colombia,SSP2-4.5,2020-2039,74.94,75.36,75.80
Colombia,SSP2-4.5,2040-2059,75.68,76.17,76.74
Colombia,SSP2-4.5,2080-2099,76.09,77.32,78.52
Comoros,SSP2-4.5,1986-2005,79.72,80.01,80.18
Comoros,SSP2-4.5,2020-2039,80.92,81.15,81.51
Comoros,SSP2-4.5,2040-2059,81.47,81.82,82.40
Comoros,SSP2-4.5,2080-2099,81.91,82.64,83.56
Cabo Verde,SSP2-4.5,1986-2005,71.07,71.37,71.64
Cabo Verde,SSP2-4.5,2020-2039,71.99,72.62,73.18
Cabo Verde,SSP2-4.5,2040-2059,72.81,73.17,73.93
Cabo Verde,SSP2-4.5,2080-2099,73.17,74.20,75.57
Costa Rica,SSP2-4.5,1986-2005,72.23,72.47,72.68
Costa Rica,SSP2-4.5,2020-2039,73.50,73.89,74.34
Costa Rica,SSP2-4.5,2040-2059,74.12,74.66,75.18
Costa Rica,SSP2-4.5,2080-2099,74.52,75.62,76.68
Cuba,SSP2-4.5,1986-2005,73.58,74.16,74.46
Cuba,SSP2-4.5,2020-2039,74.95,75.39,75.93
Cuba,SSP2-4.5,2040-2059,75.47,75.93,76.54
Cuba,SSP2-4.5,2080-2099,75.92,76.77,78.03
Curaçao,SSP2-4.5,1986-2005,77.86,78.14,78.33
Curaçao,SSP2-4.5,2020-2039,79.08,79.50,79.83
Curaçao,SSP2-4.5,2040-2059,79.70,80.11,80.70
Curaçao,SSP2-4.5,2080-2099,80.01,81.01,81.86
Cayman Islands,SSP2-4.5,1986-2005,76.91,77.38,77.54
Cayman Islands,SSP2-4.5,2020-2039,78.23,78.57,78.88
Cayman Islands,SSP2-4.5,2040-2059,78.67,79.12,79.67
Cayman Islands,SSP2-4.5,2080-2099,79.11,79.90,81.06
Cyprus,SSP2-4.5,1986-2005,54.91,55.69,56.24
Cyprus,SSP2-4.5,2020-2039,57.15,57.74,58.39
Cyprus,SSP2-4.5,2040-2059,57.74,58.20,58.88
Cyprus,SSP2-4.5,2080-2099,57.89,59.21,60.88
Czechia,SSP2-4.5,1986-2005,28.04,29.86,30.64
Czechia,SSP2-4.5,2020-2039,31.20,31.94,35.49
Czechia,SSP2-4.5,2040-2059,31.55,33.24,36.07
Czechia,SSP2-4.5,2080-2099,32.07,34.37,36.94
Germany,SSP2-4.5,1986-2005,32.55,34.16,34.76
Germany,SSP2-4.5,2020-2039,35.22,35.82,38.80
Germany,SSP2-4.5,2040-2059,35.32,36.80,39.43
Germany,SSP2-4.5,2080-2099,36.27,37.98,40.27
Djibouti,SSP2-4.5,1986-2005,74.11,74.52,74.87
Djibouti,SSP2-4.5,2020-2039,75.90,76.20,76.99
Djibouti,SSP2-4.5,2040-2059,76.42,77.04,78.26
Djibouti,SSP2-4.5,2080-2099,77.47,78.29,79.93
Dominica,SSP2-4.5,1986-2005,76.19,76.59,76.81
Dominica,SSP2-4.5,2020-2039,77.51,77.93,78.43
Dominica,SSP2-4.5,2040-2059,78.13,78.46,79.12
Dominica,SSP2-4.5,2080-2099,78.57,79.44,80.46
Denmark,SSP2-4.5,1986-2005,33.04,34.18,35.34
Denmark,SSP2-4.5,2020-2039,35.56,36.43,38.11
Denmark,SSP2-4.5,2040-2059,35.79,37.22,39.81
Denmark,SSP2-4.5,2080-2099,36.54,38.00,40.61
Dominican Republic,SSP2-4.5,1986-2005,73.69,74.02,74.38
Dominican Republic,SSP2-4.5,2020-2039,75.14,75.52,75.95
Dominican Republic,SSP2-4.5,2040-2059,75.66,76.15,77.15
Dominican Republic,SSP2-4.5,2080-2099,76.16,77.09,78.71
Algeria,SSP2-4.5,1986-2005,49.42,49.85,50.52
Algeria,SSP2-4.5,2020-2039,50.94,51.77,52.82
Algeria,SSP2-4.5,2040-2059,51.36,52.60,53.71
Algeria,SSP2-4.5,2080-2099,52.40,53.55,55.60
Ecuador,SSP2-4.5,1986-2005,66.01,66.29,66.53
Ecuador,SSP2-4.5,2020-2039,67.06,67.66,68.09
Ecuador,SSP2-4.5,2040-2059,67.91,68.49,68.96
Ecuador,SSP2-4.5,2080-2099,68.34,69.30,70.59
Egypt,SSP2-4.5,1986-2005,58.27,58.91,59.41
Egypt,SSP2-4.5,2020-2039,60.58,61.14,61.78
Egypt,SSP2-4.5,2040-2059,61.17,61.64,62.29
Egypt,SSP2-4.5,2080-2099,61.47,62.82,64.70
Eritrea,SSP2-4.5,1986-2005,73.00,73.50,73.73
Eritrea,SSP2-4.5,2020-2039,74.88,75.27,75.93
Eritrea,SSP2-4.5,2040-2059,75.46,76.15,77.23
Eritrea,SSP2-4.5,2080-2099,76.46,77.46,79.19
Spain,SSP2-4.5,1986-2005,46.86,47.50,47.91
Spain,SSP2-4.5,2020-2039,48.00,48.94,49.78
Spain,SSP2-4.5,2040-2059,48.86,49.61,50.33
Spain,SSP2-4.5,2080-2099,49.54,50.64,52.06
Estonia,SSP2-4.5,1986-2005,23.03,24.47,26.76
Estonia,SSP2-4.5,2020-2039,26.32,27.70,30.15
Estonia,SSP2-4.5,2040-2059,27.15,29.19,32.74
Estonia,SSP2-4.5,2080-2099,27.83,30.33,34.24
Ethiopia,SSP2-4.5,1986-2005,71.72,72.00,72.33
Ethiopia,SSP2-4.5,2020-2039,73.17,73.65,74.26
Ethiopia,SSP2-4.5,2040-2059,73.67,74.64,75.42
Ethiopia,SSP2-4.5,2080-2099,74.55,75.88,77.18
Finland,SSP2-4.5,1986-2005,16.73,19.39,22.04
Finland,SSP2-4.5,2020-2039,20.83,22.90,25.17
Finland,SSP2-4.5,2040-2059,21.45,24.12,28.24
Finland,SSP2-4.5,2080-2099,22.01,25.96,29.53
Fiji,SSP2-4.5,1986-2005,79.37,79.52,79.71
Fiji,SSP2-4.5,2020-2039,80.34,80.53,80.83
Fiji,SSP2-4.5,2040-2059,80.69,81.07,81.63
Fiji,SSP2-4.5,2080-2099,81.23,81.84,82.89
Falkland Islands (Malvinas),SSP2-4.5,1986-2005,49.41,49.68,50.27
Falkland Islands (Malvinas),SSP2-4.5,2020-2039,50.07,50.49,51.08
Falkland Islands (Malvinas),SSP2-4.5,2040-2059,50.04,50.86,52.05
Falkland Islands (Malvinas),SSP2-4.5,2080-2099,50.80,51.34,52.64
France,SSP2-4.5,1986-2005,39.13,40.13,40.73
France,SSP2-4.5,2020-2039,40.80,41.81,43.87
France,SSP2-4.5,2040-2059,41.56,42.42,43.98
France,SSP2-4.5,2080-2099,41.77,43.36,45.06
Faroe Islands,SSP2-4.5,1986-2005,38.24,39.78,40.90
Faroe Islands,SSP2-4.5,2020-2039,39.53,41.42,42.95
Faroe Islands,SSP2-4.5,2040-2059,39.84,41.18,43.38
Faroe Islands,SSP2-4.5,2080-2099,39.24,42.23,44.49
"Micronesia, Federated States of",SSP2-4.5,1986-2005,80.18,80.40,80.62
"Micronesia, Federated States of",SSP2-4.5,2020-2039,81.33,81.55,81.95
"Micronesia, Federated States of",SSP2-4.5,2040-2059,81.86,82.13,82.93
"Micronesia, Federated States of",SSP2-4.5,2080-2099,82.32,83.02,83.75
