Field Name,Country,Country_iso3,Region,Latitude,Longitude,Location,gwp,ch4_gwp_potential,Upstream Methane Emission Rate (NGSI Standard %),Upstream Methane Intensity (kgCH4/boe),Midstream Methane Intensity (kgCH4/boe),Downstream Methane Intensity (kgCH4/boe),Upstream Carbon Dioxide Intensity (kgCO2/boe),Midstream Carbon Dioxide Intensity (kgCO2/boe),Downstream Carbon Dioxide Intensity (kgCO2/boe),Total Emissions Intensity (kgCO2eq/boe),Total Carbon Dioxide Intensity (kgCO2/boe),Industry GHG Responsibility (kgCO2eq/boe),Consumer GHG Responsibility (kgCO2eq/boe),Sulfur Content Weight Percent,API Category,Enhanced recovery,Fracked,Dry Gas,Flaring-to-Oil Ratio (scf flared/bbl),Energy Output of Oil and Gas Produced (MJ/d),Energy Output of Petroleum Products (MJ/d),Breakeven Oil Price (usd/bbl),Breakeven Gas Price (usd/kcf),Flare Rate,Oil or Gas or Condensate,Resource Type,Sour or Sweet
Marcellus,United States,USA,North America,40.48561,-78.9835346124989,Onshore,20,82.5,0.9328,0.5398,0.0,0.3326,10.6422,4.89834,321.28937,485.75951,384.87727,132.14115,353.61835,0.14081,Light,0,True,0,13.40986,28786424533.97446,3692335797.16672,0.0,0.8,Low Flare,Gas,Wet gas,Sweet Gas
Marcellus,United States,USA,North America,40.48561,-78.9835346124989,Onshore,100,29.8,0.9328,0.5398,0.0,0.3326,10.6422,4.84015,321.31176,424.16945,384.84147,87.58429,336.58516,0.14081,Light,0,True,0,13.40986,28786424533.97446,3692335797.16672,0.0,0.8,Low Flare,Gas,Wet gas,Sweet Gas
Margarita-Huacaya,Bolivia,BOL,South America,-21.0906,-63.7493,Onshore,20,82.5,1.08301,0.68666,0.0,0.38323,10.9212,3.78629,312.12551,487.84853,370.47713,143.67492,344.17361,0.02524,Light,0,False,0,62.8,602219799.27991,108123506.62955,0.0,2.8,Medium Flare,Gas,Wet gas,Sweet Gas
Margarita-Huacaya,Bolivia,BOL,South America,-21.0906,-63.7493,Onshore,100,29.8,1.08301,0.68666,0.0,0.38323,10.9212,3.6876,312.12609,413.44489,370.37902,89.05429,324.3906,0.02524,Light,0,False,0,62.8,602219799.27991,108123506.62955,0.0,2.8,Medium Flare,Gas,Wet gas,Sweet Gas
Mari,Pakistan,PAK,South Asia,27.9432,69.7529,Onshore,20,82.5,1.1181,0.59773,0.0,0.47438,8.58236,0.0,293.18982,445.02371,326.10123,112.54179,332.48192,0.00216,Light,0,False,1,17623.6748,634302718.42783,144563.06217,0.0,1.0,Low Flare,Gas,Dry Gas,Sweet Gas
Mari,Pakistan,PAK,South Asia,27.9432,69.7529,Onshore,100,29.8,1.1181,0.59773,0.0,0.47438,8.58236,0.0,293.18982,369.2529,326.10123,61.47828,307.77462,0.00216,Light,0,False,1,17623.6748,634302718.42783,144563.06217,0.0,1.0,Low Flare,Gas,Dry Gas,Sweet Gas
Marjan,Saudi Arabia,SAU,Middle East,28.4407,49.6362,Offshore,20,82.5,0.03275,0.44905,0.00424,0.02057,26.87698,51.67677,365.82031,493.89962,457.66364,117.51089,376.38872,1.62806,Regular,1,False,0,23.81403,2388809600.76862,2040784071.912,12.9,0.0,Medium Flare,Oil,Medium Oil,Sour Oil
Marjan,Saudi Arabia,SAU,Middle East,28.4407,49.6362,Offshore,100,29.8,0.03275,0.44905,0.00414,0.02052,26.87698,51.37358,365.89578,469.56857,457.43592,93.34711,376.22146,1.62806,Regular,1,False,0,23.81403,2388809600.76862,2040784071.912,12.9,0.0,Medium Flare,Oil,Medium Oil,Sour Oil
Marlim,Brazil,BRA,South America,-22.541,-39.996,Offshore,20,82.5,0.0,1.13146,0.00429,0.02265,48.96974,60.1617,402.9573,625.75369,528.75747,207.62833,418.12536,0.62559,Heavy Oil 20-23,1,False,0,21.87216,1018155957.13595,974529634.53585,64.2,0.0,Medium Flare,Oil,Heavy Oil,Sour Oil
Marlim,Brazil,BRA,South America,-22.541,-39.996,Offshore,100,29.8,0.0,1.13146,0.0042,0.0226,48.96974,59.86014,403.05094,565.44394,528.54954,147.4709,417.97304,0.62559,Heavy Oil 20-23,1,False,0,21.87216,1018155957.13595,974529634.53585,64.2,0.0,Medium Flare,Oil,Heavy Oil,Sour Oil
