country,date,sector,MtCO2 per day
United Kingdom,03/01/2023,Ground Transport,0.30546
United Kingdom,03/01/2023,Industry,0.0926172
United Kingdom,03/01/2023,International Aviation,0.078133
United Kingdom,03/01/2023,Power,0.0971282
United Kingdom,03/01/2023,Residential,0.295783
United States,03/01/2023,Domestic Aviation,0.41139
United States,03/01/2023,Ground Transport,3.41921
United States,03/01/2023,Industry,2.396
United States,03/01/2023,International Aviation,0.18414
United States,03/01/2023,Power,3.64141
United States,03/01/2023,Residential,1.69602
WORLD,03/01/2023,Domestic Aviation,0.885684
WORLD,03/01/2023,Ground Transport,16.5725
WORLD,03/01/2023,Industry,30.1859
WORLD,03/01/2023,International Aviation,1.36086
WORLD,03/01/2023,Power,39.3251
WORLD,03/01/2023,Residential,16.467
Brazil,04/01/2023,Domestic Aviation,0.0355522
Brazil,04/01/2023,Ground Transport,0.446115
Brazil,04/01/2023,Industry,0.352532
Brazil,04/01/2023,International Aviation,0.0179235
Brazil,04/01/2023,Power,0.126202
Brazil,04/01/2023,Residential,0.0984519
China,04/01/2023,Domestic Aviation,0.120062
China,04/01/2023,Ground Transport,2.50829
China,04/01/2023,Industry,13.106
China,04/01/2023,International Aviation,0.0203926
China,04/01/2023,Power,17.2112
China,04/01/2023,Residential,3.60955
EU27 & UK,04/01/2023,Domestic Aviation,0.0373887
EU27 & UK,04/01/2023,Ground Transport,2.48435
EU27 & UK,04/01/2023,Industry,1.30049
EU27 & UK,04/01/2023,International Aviation,0.387151
EU27 & UK,04/01/2023,Power,1.76929
EU27 & UK,04/01/2023,Residential,2.14687
France,04/01/2023,Domestic Aviation,0.00434367
France,04/01/2023,Ground Transport,0.34116
France,04/01/2023,Industry,0.0807095
France,04/01/2023,International Aviation,0.0451541
France,04/01/2023,Power,0.0526485
France,04/01/2023,Residential,0.255881
Germany,04/01/2023,Domestic Aviation,0.00241235
Germany,04/01/2023,Ground Transport,0.395604
Germany,04/01/2023,Industry,0.162427
Germany,04/01/2023,International Aviation,0.0563819
Germany,04/01/2023,Power,0.375006
Germany,04/01/2023,Residential,0.467504
India,04/01/2023,Domestic Aviation,0.0195961
India,04/01/2023,Ground Transport,0.814051
India,04/01/2023,Industry,2.19918
India,04/01/2023,International Aviation,0.0345027
